 NumResultRows,No. of columns in output view,TableAccessCount,Joins,Sorting,Aggregation,Clause, TotalIOCount, AMPCPUTime, ParserCPUTime, MaxAMPCPUTime, MaxAmpIO, SpoolUsage, AMPCPUTimeNorm, ParserCPUTimeNorm, MaxAMPCPUTimeNorm,MaxCPUAmpNumberNorm, SeqRespTime, ReqIOKB, ReqPhysIO, ReqPhysIOKB
4,4,4,0,0,1,0,"17,501",8.064,0,4.044,"8,807","83,591,168",188.938,0,94.75,1,10.5,"2,161,962","10,717","1,350,270"
"11,620",4,3,0,1,1,1,"8,800",2.216,0,1.108,"4,437","8,056,320",51.92,0,25.96,1,5.47,"1,103,473","8,246","1,050,027"
4,4,4,0,0,1,0,"17,526",6.928,0,3.48,"8,782","83,591,168",162.322,0,81.536,1,9.73,"2,163,853","10,690","1,345,766"
"11,620",4,3,0,1,1,1,"8,792",2.22,0,1.12,"4,433","8,056,320",52.014,0,26.241,0,5.48,"1,103,224","8,247","1,050,285"
4,4,4,0,0,1,0,"17,506",7.404,0,3.764,"8,858","83,591,168",173.475,0,88.19,1,9.86,"2,160,435","10,713","1,347,420"
"11,620",4,3,0,1,1,1,"8,791",2.244,0,1.124,"4,432","8,056,320",52.576,0,26.335,0,5.52,"1,102,706","8,245","1,049,769"
4,4,4,0,0,1,0,"17,445",5.844,0,2.924,"8,772","83,591,168",136.924,0,68.509,1,8.81,"2,153,518","10,677","1,344,102"
"11,620",4,3,0,1,1,1,"8,863",2.26,0,1.136,"4,433","8,056,320",52.951,0,26.616,1,5.47,"1,102,965","8,246","1,050,027"
4,4,4,0,0,1,0,"17,539",5.856,0,2.94,"8,879","83,591,168",137.205,0,68.884,1,8.58,"2,167,252","10,727","1,351,303"
"11,620",4,3,0,1,1,1,"8,791",2.212,0,1.108,"4,432","8,056,320",51.826,0,25.96,0,5.5,"1,102,965","8,246","1,050,027"
4,4,4,0,0,1,0,"17,492",5.828,0,2.92,"8,844","83,591,168",136.549,0,68.415,1,8.53,"2,161,348","10,728","1,351,873"
"11,620",4,3,0,1,1,1,"8,863",2.296,0,1.152,"4,432","8,056,320",53.794,0,26.991,1,5.52,"1,102,965","8,246","1,050,027"
4,4,4,0,0,1,0,"17,533",5.884,0,2.948,"8,884","83,591,168",137.861,0,69.071,0,8.46,"2,166,298","10,727","1,351,477"
"11,620",4,3,0,1,1,1,"8,791",2.24,0,1.14,"4,430","8,056,320",52.483,0,26.71,0,5.52,"1,102,965","8,246","1,050,027"
4,4,4,0,0,1,0,"17,542",7.196,0.004,3.624,"8,822","83,591,168",168.601,0.093,84.91,1,9.74,"2,166,048","10,709","1,349,343"
"11,620",4,3,0,1,1,1,"8,791",2.248,0,1.132,"4,430","8,056,320",52.669,0,26.522,0,5.76,"1,102,965","8,246","1,050,027"
4,4,4,0,0,1,0,"17,543",7.8,0,3.928,"8,885","83,591,168",182.753,0,92.033,0,10.73,"2,167,329","10,733","1,352,096"
"11,620",4,3,0,1,1,1,"8,863",2.296,0.004,1.164,"4,432","8,056,320",53.794,0.093,27.272,0,5.54,"1,102,965","8,246","1,050,027"
4,4,4,0,0,1,0,"17,576",7.168,0,3.604,"8,921","83,591,168",167.945,0,84.441,1,9.75,"2,170,031","10,746","1,352,353"
"11,620",4,3,0,1,1,1,"8,792",2.228,0,1.128,"4,433","8,056,320",52.202,0,26.429,0,5.56,"1,102,965","8,246","1,050,027"
4,4,4,0,0,1,0,"17,570",6.484,0,3.268,"8,884","83,591,168",151.919,0,76.569,1,9.12,"2,171,448","10,735","1,352,463"
5,2,1,0,1,0,1,"8,262",1.732,0.044,0.88,"4,132","1,683,456",40.58,1.03,20.618,0,5.55,"1,031,404","8,017","1,014,962"
4,4,4,0,0,1,0,"17,542",5.764,0,2.908,"8,824","83,591,168",135.05,0,68.134,1,8.51,"2,165,982","10,710","1,349,343"
5,2,1,0,1,0,1,"8,200",1.728,0.04,0.88,"4,102","1,683,456",40.486,0.937,20.618,0,5.49,"1,031,404","7,985","1,013,938"
4,4,4,0,0,1,0,"17,609",6.164,0,3.104,"8,862","83,591,168",144.421,0,72.726,0,8.75,"2,174,413","10,742","1,351,542"
5,2,1,0,1,0,1,"8,234",1.716,0,0.88,"4,132","1,683,456",40.205,0,20.618,0,5.56,"1,031,404","7,985","1,013,938"
460,8,5,0,0,0,1,"1,408",0.18,0,0.092,741,"583,680",4.216,0,2.155,1,0.46,"129,067",828,"99,744"
5,2,1,0,1,0,1,"8,262",1.748,0,0.9,"4,132","1,683,456",40.955,0,21.087,0,5.47,"1,031,404","7,985","1,013,938"
460,8,5,0,0,0,1,"1,409",0.164,0,0.088,742,"583,680",3.841,0,2.061,1,0.41,"129,158",834,"99,935"
5,2,1,0,1,0,1,"8,234",1.776,0,0.9,"4,132","1,683,456",41.611,0,21.087,0,5.5,"1,031,404","7,985","1,013,938"
460,8,5,0,0,0,1,"1,409",0.168,0,0.096,742,"583,680",3.935,0,2.249,1,0.44,"129,158",826,"99,619"
5,2,1,0,1,0,1,"8,262",1.688,0,0.852,"4,132","1,683,456",39.549,0,19.962,0,5.48,"1,031,404","7,985","1,013,938"
460,8,5,0,0,0,1,"1,409",0.176,0,0.092,742,"583,680",4.123,0,2.155,1,0.44,"129,158",824,"99,617"
5,2,1,0,1,0,1,"8,200",1.736,0,0.896,"4,102","1,683,456",40.674,0,20.993,0,5.48,"1,031,404","7,985","1,013,938"
460,8,5,0,0,0,1,"1,409",0.16,0,0.084,742,"583,680",3.748,0,1.968,1,0.43,"129,158",832,"99,933"
5,2,1,0,1,0,1,"8,262",1.732,0,0.888,"4,132","1,683,456",40.579,0,20.805,0,5.46,"1,031,404","7,985","1,013,938"
