"QueryText "," NumResultRows"," UtilityRowCount","CallNestingLevel","QueryBand "," StartTime"," FirstStepTime"," FirstRespTime","NumSteps"," TotalIOCount"," AMPCPUTime"," ParserCPUTime"," UtilityByteCount"," DelayTime","NumOfActiveAMPs"," MaxAMPCPUTime","MaxCPUAmpNumber"," MaxAmpIO","MaxIOAmpNumber"," MinAmpIO"," SpoolUsage","ResponseTimeMet"," TDWMEstMaxRows"," TDWMEstLastRows"," TDWMEstTotalTime"," AMPCPUTimeNorm"," ParserCPUTimeNorm"," MaxAMPCPUTimeNorm","MaxCPUAmpNumberNorm"," MinAmpCPUTimeNorm"," EstProcTime"," EstMaxRowCount"," WDDelayTime"," ParserExpReq","CPUDecayLevel","IODecayLevel"," SeqRespTime"," ReqIOKB"," ReqPhysIO"," ReqPhysIOKB"
"select supp_nation, cust_nation, l_year, sum(volume) as revenue from ( select n1.n_name as supp_nation, n2.n_name as cust_nation, extract(year from l_shipdate) as l_year, l_extended "," 4"," ?"," 0","? ","2014-11-08 20:33:16.55","2014-11-08 20:33:16.55","2014-11-08 20:33:26.70"," 18"," 17,501"," 8.064"," 0.000"," ?"," ?"," 2"," 4.044"," 1"," 8,807"," 1"," 8,694"," 83,591,168","T "," 1,104,954"," 828,716"," 359,956"," 188.938"," 0.000"," 94.750"," 1"," 94.188"," 359.956"," 1,104,954"," ?"," ?"," 0"," 0"," 10.500"," 2,161,962.000"," 10,717.000"," 1,350,270.000"
"select l_orderkey, sum(l_extendedprice * (1 - l_discount)) as revenue, o_orderdate, o_shippriority from customer, orders, lineitem where c_mktsegment = 'BUILDING' and c_custkey = o_custkey a "," 11,620"," ?"," 0","? ","2014-11-08 20:23:13.03","2014-11-08 20:23:13.03","2014-11-08 20:23:18.32"," 11"," 8,800"," 2.216"," 0.000"," ?"," ?"," 2"," 1.108"," 1"," 4,437"," 1"," 4,363"," 8,056,320","T "," 291,795"," 291,795"," 77,141"," 51.920"," 0.000"," 25.960"," 1"," 25.960"," 77.141"," 291,795"," ?"," ?"," 0"," 0"," 5.470"," 1,103,473.000"," 8,246.000"," 1,050,027.000"
"select supp_nation, cust_nation, l_year, sum(volume) as revenue from ( select n1.n_name as supp_nation, n2.n_name as cust_nation, extract(year from l_shipdate) as l_year, l_extended "," 4"," ?"," 0","? ","2014-11-08 20:33:26.70","2014-11-08 20:33:26.71","2014-11-08 20:33:35.61"," 18"," 17,526"," 6.928"," 0.000"," ?"," ?"," 2"," 3.480"," 1"," 8,782"," 1"," 8,744"," 83,591,168","T "," 1,104,954"," 828,716"," 359,956"," 162.322"," 0.000"," 81.536"," 1"," 80.786"," 359.956"," 1,104,954"," ?"," ?"," 0"," 0"," 9.730"," 2,163,853.000"," 10,690.000"," 1,345,766.000"
"select l_orderkey, sum(l_extendedprice * (1 - l_discount)) as revenue, o_orderdate, o_shippriority from customer, orders, lineitem where c_mktsegment = 'BUILDING' and c_custkey = o_custkey a "," 11,620"," ?"," 0","? ","2014-11-08 20:23:18.33","2014-11-08 20:23:18.33","2014-11-08 20:23:23.63"," 11"," 8,792"," 2.220"," 0.000"," ?"," ?"," 2"," 1.120"," 0"," 4,433"," 1"," 4,359"," 8,056,320","T "," 291,795"," 291,795"," 77,141"," 52.014"," 0.000"," 26.241"," 0"," 25.773"," 77.141"," 291,795"," ?"," ?"," 0"," 0"," 5.480"," 1,103,224.000"," 8,247.000"," 1,050,285.000"
"select supp_nation, cust_nation, l_year, sum(volume) as revenue from ( select n1.n_name as supp_nation, n2.n_name as cust_nation, extract(year from l_shipdate) as l_year, l_extended "," 4"," ?"," 0","? ","2014-11-08 20:33:35.61","2014-11-08 20:33:35.61","2014-11-08 20:33:44.99"," 18"," 17,506"," 7.404"," 0.000"," ?"," ?"," 2"," 3.764"," 1"," 8,858"," 1"," 8,648"," 83,591,168","T "," 1,104,954"," 828,716"," 359,956"," 173.475"," 0.000"," 88.190"," 1"," 85.285"," 359.956"," 1,104,954"," ?"," ?"," 0"," 0"," 9.860"," 2,160,435.000"," 10,713.000"," 1,347,420.000"
"select l_orderkey, sum(l_extendedprice * (1 - l_discount)) as revenue, o_orderdate, o_shippriority from customer, orders, lineitem where c_mktsegment = 'BUILDING' and c_custkey = o_custkey a "," 11,620"," ?"," 0","? ","2014-11-08 20:23:23.64","2014-11-08 20:23:23.64","2014-11-08 20:23:28.98"," 11"," 8,791"," 2.244"," 0.000"," ?"," ?"," 2"," 1.124"," 0"," 4,432"," 1"," 4,359"," 8,056,320","T "," 291,795"," 291,795"," 77,141"," 52.576"," 0.000"," 26.335"," 0"," 26.241"," 77.141"," 291,795"," ?"," ?"," 0"," 0"," 5.520"," 1,102,706.000"," 8,245.000"," 1,049,769.000"
"select supp_nation, cust_nation, l_year, sum(volume) as revenue from ( select n1.n_name as supp_nation, n2.n_name as cust_nation, extract(year from l_shipdate) as l_year, l_extended "," 4"," ?"," 0","? ","2014-11-08 20:33:44.99","2014-11-08 20:33:44.99","2014-11-08 20:33:53.30"," 18"," 17,445"," 5.844"," 0.000"," ?"," ?"," 2"," 2.924"," 1"," 8,772"," 1"," 8,673"," 83,591,168","T "," 1,104,954"," 828,716"," 359,956"," 136.924"," 0.000"," 68.509"," 1"," 68.415"," 359.956"," 1,104,954"," ?"," ?"," 0"," 0"," 8.810"," 2,153,518.000"," 10,677.000"," 1,344,102.000"
"select l_orderkey, sum(l_extendedprice * (1 - l_discount)) as revenue, o_orderdate, o_shippriority from customer, orders, lineitem where c_mktsegment = 'BUILDING' and c_custkey = o_custkey a "," 11,620"," ?"," 0","? ","2014-11-08 20:23:28.98","2014-11-08 20:23:28.98","2014-11-08 20:23:34.27"," 11"," 8,863"," 2.260"," 0.000"," ?"," ?"," 2"," 1.136"," 1"," 4,433"," 1"," 4,430"," 8,056,320","T "," 291,795"," 291,795"," 77,141"," 52.951"," 0.000"," 26.616"," 1"," 26.335"," 77.141"," 291,795"," ?"," ?"," 0"," 0"," 5.470"," 1,102,965.000"," 8,246.000"," 1,050,027.000"
"select supp_nation, cust_nation, l_year, sum(volume) as revenue from ( select n1.n_name as supp_nation, n2.n_name as cust_nation, extract(year from l_shipdate) as l_year, l_extended "," 4"," ?"," 0","? ","2014-11-08 20:33:53.30","2014-11-08 20:33:53.30","2014-11-08 20:34:01.51"," 18"," 17,539"," 5.856"," 0.000"," ?"," ?"," 2"," 2.940"," 1"," 8,879"," 1"," 8,660"," 83,591,168","T "," 1,104,954"," 828,716"," 359,956"," 137.205"," 0.000"," 68.884"," 1"," 68.321"," 359.956"," 1,104,954"," ?"," ?"," 0"," 0"," 8.580"," 2,167,252.000"," 10,727.000"," 1,351,303.000"
"select l_orderkey, sum(l_extendedprice * (1 - l_discount)) as revenue, o_orderdate, o_shippriority from customer, orders, lineitem where c_mktsegment = 'BUILDING' and c_custkey = o_custkey a "," 11,620"," ?"," 0","? ","2014-11-08 20:23:34.27","2014-11-08 20:23:34.27","2014-11-08 20:23:39.60"," 11"," 8,791"," 2.212"," 0.000"," ?"," ?"," 2"," 1.108"," 0"," 4,432"," 1"," 4,359"," 8,056,320","T "," 291,795"," 291,795"," 77,141"," 51.826"," 0.000"," 25.960"," 0"," 25.866"," 77.141"," 291,795"," ?"," ?"," 0"," 0"," 5.500"," 1,102,965.000"," 8,246.000"," 1,050,027.000"
